Sl,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1.0,Andhra Pradesh,1150,1340,1237,1443,1415,1360,1436,1531,1487,1761,1758,1664,1960,1237,1341
2.0,Arunachal Pradesh,51,61,35,56,38,40,57,37,60,49,47,47,106,93,105
3.0,Assam,928,1019,1188,1233,1406,1290,1477,1445,1644,1629,1470,1626,1745,3673,1700
4.0,Bihar,1400,1304,1120,1157,1455,1451,1816,1464,1086,892,1185,1327,1156,1226,1183
5.0,Chhattisgarh,1134,1214,1020,1144,1107,1211,1146,1108,1128,1198,1257,1214,1637,1708,1787
6.0,Goa,14,12,36,48,34,20,25,41,56,50,34,61,103,105,93
7.0,Gujarat,401,378,356,481,501,539,503,529,610,617,621,647,1027,1204,812
8.0,Haryana,539,511,523,573,627,772,607,849,848,866,801,940,1398,1456,1146
9.0,Himachal Pradesh,152,204,146,187,176,131,197,182,250,197,187,259,299,329,299
10.0,Jammu & Kashmir,222,203,266,271,248,301,331,234,303,266,349,388,404,346,329
11.0,Jharkhand,637,873,759,759,732,943,886,802,765,836,758,780,1135,1583,1233
12.0,Karnataka,361,357,410,397,381,475,518,642,595,771,837,842,1263,1950,1115
13.0,Kerala,712,600,517,562,506,666,555,623,694,659,1226,1259,1358,1442,1422
14.0,Madhya Pradesh,3212,3926,3694,4181,3900,3878,4131,3875,4243,4387,4593,4822,5879,6719,6250
15.0,Maharashtra,1886,1871,1856,1914,2227,2162,2097,2206,2075,2180,2533,2591,4243,4567,5188
16.0,Manipur,17,18,19,29,12,20,12,19,22,22,24,46,37,75,33
17.0,Meghalaya,29,45,50,57,65,71,76,82,110,135,128,182,190,162,104
18.0,Mizoram,64,83,70,15,36,77,87,94,81,112,74,122,89,143,68
19.0,Nagaland,28,20,14,20,19,29,15,27,27,17,27,26,41,42,35
20.0,Odisha,887,820,839,906,838,1020,1026,1045,1119,1363,1224,1666,2080,2192,2681
21.0,Punjab,459,538,574,563,553,618,709,663,681,766,598,895,1048,1248,991
22.0,Rajasthan,1147,937,928,995,1110,1085,1201,1211,1388,1343,1642,1807,2783,2848,2766
23.0,Sikkim,6,2,7,3,8,17,30,24,19,21,25,29,43,107,7
24.0,Tamil Nadu,565,695,661,681,744,573,615,740,776,777,837,962,1193,764,529
25.0,Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,1247,1278
26.0,Tripura,139,141,135,190,157,167,165,210,336,320,258,202,356,258,220
27.0,Uttar Pradesh,2685,2050,1211,1942,1683,1770,2283,2825,2918,2580,3571,3593,5587,6329,5369
28.0,Uttarakhand,82,142,154,226,225,233,171,108,138,171,149,184,289,306,282
29.0,West Bengal,1027,1279,1497,1661,2085,2045,2409,1790,1748,2395,1870,1963,2674,2602,1347
,TOTAL STATE(S),19934,20643,19322,21694,22288,22964,24581,24406,25207,26380,28083,30144,40123,45961,39713
30.0,A & N Islands,3,6,6,11,8,7,3,13,36,39,28,17,36,37,32
31.0,Chandigarh,32,28,32,27,43,27,24,27,38,44,27,34,49,66,92
32.0,D&N Haveli,10,3,1,12,6,5,5,8,5,3,4,5,9,6,8
33.0,Daman & Diu,0,0,6,2,1,2,4,0,1,1,0,10,10,2,4
34.0,Delhi UT,454,546,624,737,856,778,731,573,557,602,707,892,1851,2105,2177
35.0,Lakshadweep,0,2,2,0,0,0,1,1,0,0,0,0,4,1,0
36.0,Puducherry,13,8,1,6,10,9,14,8,1,5,29,15,33,15,10
,TOTAL UT(S),512,593,672,795,924,828,782,630,638,694,795,973,1992,2232,2323
,TOTAL (ALL INDIA),20446,21236,19994,22489,23212,23792,25363,25036,25845,27074,28878,31117,42115,48193,42036
